Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY60101365,,-1.25E-08,-0.0201875306665897,0.198301772266859,
Firmware Version:,07.31.2020012900,,-1.21875E-08,0.046758059412241,0.198406374780461,
Start Time:,2023-04-12 12:43:16.560,,-1.1875E-08,0.0300216618925333,0.198573738802224,
Capture#:,100,,-1.15625E-08,0.0132852643728256,0.198573738802224,
,,,-1.125E-08,0.0132852643728256,0.198479596539983,
Analog Sample Count:,640,,-1.09375E-08,0.046758059412241,0.198406374780461,
Function Sample Count:,0,,-1.0625E-08,0.0258375625126064,0.198406374780461,
Waveform Memory Sample Count:,0,,-1.03125E-08,0.0132852643728256,0.198406374780461,
Digital Sample Count:,0,,-1E-08,0.046758059412241,0.198573738802224,
,,,-9.6875E-09,0.0802308544516563,0.198490056791343,
Setup Text Information:,,,-9.375E-09,0.046758059412241,0.198406374780461,
ANALOG,,,-9.0625E-09,0.046758059412241,0.198406374780461,
Channel 1,,,-8.75E-09,0.046758059412241,0.198406374780461,
Scale,1 V/,,-8.4375E-09,0.046758059412241,0.198594659304945,
Pos,2.825 V,,-8.125E-09,0.0802308544516563,0.198741102823988,
Coup,,,-7.8125E-09,0.0802308544516563,0.198573738802224,
BW,Off,,-7.5E-09,0.0802308544516563,0.198239010758698,
Inv,Off,,-7.1875E-09,0.0802308544516563,0.198406374780461,
Imp,1M Ohm,,-6.875E-09,0.113703649491072,0.198479596539983,
Trace Label,1,,-6.5625E-09,0.113703649491072,0.198573738802224,
Probe,1,,-6.25E-09,0.130440047010779,0.198406374780461,
Skew,0 s,,-5.9375E-09,0.147176444530487,0.198573738802224,
,,,-5.625E-09,0.180649239569902,0.198573738802224,
Channel 2,,,-5.3125E-09,0.113703649491072,0.198573738802224,
Scale,5 mV/,,-5E-09,0.180649239569902,0.198406374780461,
Pos,190.88 mV,,-4.6875E-09,0.193201537709683,0.198741102823988,
Coup,,,-4.375E-09,0.214122034609318,0.198406374780461,
BW,Off,,-4.0625E-09,0.214122034609318,0.198406374780461,
Inv,Off,,-3.75E-09,0.281067624688149,0.198406374780461,
Imp,1M Ohm,,-3.4375E-09,0.281067624688149,0.198741102823988,
Trace Label,2,,-3.125E-09,0.281067624688149,0.198573738802224,
Probe,1,,-2.8125E-09,0.281067624688149,0.198573738802224,
Skew,0 s,,-2.5E-09,0.281067624688149,0.198636500310386,
,,,-2.1875E-09,0.381486009806395,0.198741102823988,
MATH,,,-1.875E-09,0.396130357636139,0.198573738802224,
REFERENCE WAVEFORM,,,-1.5625E-09,0.41495880484581,0.198406374780461,
DIGITAL,,,-1.25E-09,0.448431599885225,0.198406374780461,
TRIGGER,,,-9.37499999999999E-10,0.448431599885225,0.198406374780461,
Sweep Mode,AUTO,,-6.24999999999999E-10,0.486088494304568,0.198406374780461,
Coup,DC,,-3.12499999999999E-10,0.515377189964056,0.198573738802224,
Noise Rej,Off,,0,0.481904394924641,0.198406374780461,
HF Rej,Off,,3.125E-10,0.582322780042887,0.198479596539983,
Holdoff,40.0 ns,,6.25000000000001E-10,0.649268370121717,0.198573738802224,
