Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),2 (VOLT),3 (VOLT),
Serial Number:,MY60101365,,-5E-07,0.198508371599019,-0.0669456124305725,
Firmware Version:,07.31.2020012900,,-4.998E-07,0.198006279533729,-0.0669456124305725,
Start Time:,2022-10-21 12:58:11.291,,-4.996E-07,0.198508371599019,0.0669456124305725,
Capture#:,40,,-4.994E-07,0.197336823446676,0,
,,,-4.992E-07,0.198173643555492,0,
,,,-4.99E-07,0.198675735620782,0,
,,,-4.988E-07,0.198006279533729,0,
,,,-4.986E-07,0.197504187468439,0,
,,,-4.984E-07,0.197671551490203,0,
,,,-4.982E-07,0.197838915511966,0.0669456124305725,
,,,-4.98E-07,0.198675735620782,0,
,,,-4.978E-07,0.198173643555492,0,
,,,-4.976E-07,0.198006279533729,-0.133891224861145,
,,,-4.974E-07,0.197838915511966,0,
,,,-4.972E-07,0.197671551490203,0,
,,,-4.97E-07,0.197671551490203,-0.133891224861145,
,,,-4.968E-07,0.198173643555492,0,
,,,-4.966E-07,0.199345191707835,0.0669456124305725,
,,,-4.964E-07,0.198843099642545,0,
,,,-4.962E-07,0.198006279533729,-0.0669456124305725,
,,,-4.96E-07,0.198006279533729,0,
,,,-4.958E-07,0.198341007577255,0.0669456124305725,
,,,-4.956E-07,0.197838915511966,-0.0669456124305725,
,,,-4.954E-07,0.198341007577255,0.0669456124305725,
,,,-4.952E-07,0.198675735620782,0,
,,,-4.95E-07,0.198006279533729,0,
,,,-4.948E-07,0.198341007577255,0,
,,,-4.946E-07,0.198843099642545,-0.0669456124305725,
,,,-4.944E-07,0.197671551490203,-0.0669456124305725,
,,,-4.942E-07,0.198173643555492,-0.0669456124305725,
,,,-4.94E-07,0.198675735620782,0,
,,,-4.938E-07,0.198341007577255,-0.0669456124305725,
,,,-4.936E-07,0.198341007577255,-0.0669456124305725,
,,,-4.934E-07,0.198508371599019,0,
