Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Analog Channels,,,
Model:,MSO-X 4154A,,Time (s),1 (VOLT),4 (VOLT),
Serial Number:,MY60101365,,-9.90625E-08,-0.0114016309380531,0.0347803514450789,
Firmware Version:,07.31.2020012900,,-9.88625E-08,0.00533477030694485,0.0180439502000809,
Start Time:,2022-08-01 15:27:13.687,,-9.86625E-08,-0.0114016309380531,-0.0154288522899151,
Capture#:,96,,-9.84625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-9.82625E-08,0.00533477030694485,0.00130754895508289,
Analog Sample Count:,1000,,-9.80625E-08,0.0220711715519428,0.0180439502000809,
Function Sample Count:,0,,-9.78625E-08,0.0220711715519428,-0.0154288522899151,
Waveform Memory Sample Count:,0,,-9.76625E-08,0.00533477030694485,0.00130754895508289,
Digital Sample Count:,0,,-9.74625E-08,-0.0281380321830511,0.0180439502000809,
,,,-9.72625E-08,0.00533477030694485,0.00130754895508289,
Setup Text Information:,,,-9.70625E-08,-0.0281380321830511,-0.0154288522899151,
ANALOG,,,-9.68625E-08,-0.0114016309380531,0.00130754895508289,
Channel 1,,,-9.66625E-08,-0.0281380321830511,0.0180439502000809,
Scale,500 mV/,,-9.64625E-08,0.00533477030694485,0.00130754895508289,
Pos,725 mV,,-9.62625E-08,-0.0114016309380531,0.00130754895508289,
Coup,,,-9.60625E-08,0.00533477030694485,0.00130754895508289,
BW,Off,,-9.58625E-08,-0.0114016309380531,-0.0154288522899151,
Inv,Off,,-9.56625E-08,-0.0281380321830511,-0.0154288522899151,
Imp,1M Ohm,,-9.54625E-08,-0.0114016309380531,0.0180439502000809,
Trace Label,1,,-9.52625E-08,-0.0281380321830511,-0.0154288522899151,
Probe,1,,-9.50625E-08,-0.0114016309380531,-0.0154288522899151,
Skew,0 s,,-9.48625E-08,-0.0114016309380531,0.0180439502000809,
,,,-9.46625E-08,-0.0114016309380531,0.0180439502000809,
Channel 4,,,-9.44625E-08,0.00533477030694485,0.00130754895508289,
Scale,500 mV/,,-9.42625E-08,-0.0281380321830511,0.00130754895508289,
Pos,687.5 mV,,-9.40625E-08,0.00533477030694485,0.0180439502000809,
Coup,,,-9.38625E-08,-0.0114016309380531,-0.0154288522899151,
BW,Off,,-9.36625E-08,-0.0281380321830511,0.00130754895508289,
Inv,Off,,-9.34625E-08,-0.0114016309380531,0.00130754895508289,
Imp,1M Ohm,,-9.32625E-08,0.00533477030694485,0.00130754895508289,
Trace Label,4,,-9.30625E-08,-0.0114016309380531,0.00130754895508289,
Probe,1,,-9.28625E-08,0.00533477030694485,0.00130754895508289,
Skew,0 s,,-9.26625E-08,-0.0114016309380531,0.0180439502000809,
,,,-9.24625E-08,-0.0281380321830511,-0.0154288522899151,
MATH,,,-9.22625E-08,0.0220711715519428,0.00130754895508289,
REFERENCE WAVEFORM,,,-9.20625E-08,0.0220711715519428,-0.0154288522899151,
DIGITAL,,,-9.18625E-08,0.0220711715519428,0.0515167526900768,
TRIGGER,,,-9.16625E-08,-0.0114016309380531,0.00130754895508289,
Sweep Mode,AUTO,,-9.14625E-08,0.0220711715519428,-0.0154288522899151,
Coup,DC,,-9.12625E-08,0.00533477030694485,0.0180439502000809,
Noise Rej,Off,,-9.10625E-08,-0.0281380321830511,-0.0154288522899151,
HF Rej,Off,,-9.08625E-08,-0.0114016309380531,-0.0154288522899151,
Holdoff,40.0 ns,,-9.06625E-08,0.00533477030694485,-0.0154288522899151,
Mode,EDGE,,-9.04625E-08,-0.0281380321830511,0.00130754895508289,
Source,CHAN1,,-9.02625E-08,-0.0114016309380531,0.00130754895508289,
Slope,POS,,-9.00625E-08,-0.0281380321830511,-0.0321652535349131,
Level,468.75 mV V,,-8.98625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-8.96625E-08,-0.0281380321830511,0.00130754895508289,
HORIZONTAL,,,-8.94625E-08,0.00533477030694485,0.0347803514450789,
Mode,MAIN,,-8.92625E-08,0.0220711715519428,0.0180439502000809,
Ref,CENT,,-8.90625E-08,0.00533477030694485,-0.0154288522899151,
Main Scale,20 ns/,,-8.88625E-08,-0.0281380321830511,-0.0154288522899151,
Main Delay,1 ns,,-8.86625E-08,0.0220711715519428,0.00130754895508289,
,,,-8.84625E-08,-0.0114016309380531,0.0180439502000809,
ACQUISITION,,,-8.82625E-08,0.00533477030694485,0.0180439502000809,
Mode,HRES,,-8.80625E-08,0.00533477030694485,0.00130754895508289,
RealTime,Off,,-8.78625E-08,-0.0114016309380531,0.00130754895508289,
Vectors,Off,,-8.76625E-08,-0.0114016309380531,0.00130754895508289,
Persistence,Off,,-8.74625E-08,-0.0114016309380531,-0.0321652535349131,
,,,-8.72625E-08,-0.0281380321830511,0.00130754895508289,
MEASUREMENTS,,,-8.70625E-08,-0.0281380321830511,0.00130754895508289,
X at Max Y(1),,,-8.68625E-08,0.00533477030694485,0.00130754895508289,
Cur,5.51E-09 ,,-8.66625E-08,0.0220711715519428,0.00130754895508289,
Mean,6 n,,-8.64625E-08,0.00533477030694485,0.00130754895508289,
Min,-95 n,,-8.62625E-08,-0.0281380321830511,0.0180439502000809,
Max,100 n,,-8.60625E-08,-0.0114016309380531,-0.0321652535349131,
Std Dev,6 n,,-8.58625E-08,-0.0114016309380531,0.00130754895508289,
Count,1994,,-8.56625E-08,0.00533477030694485,0.00130754895508289,
,,,-8.54625E-08,-0.0114016309380531,0.0180439502000809,
X at Max Y(4),,,-8.52625E-08,0.00533477030694485,0.00130754895508289,
Cur,2.094E-08 ,,-8.50625E-08,0.0220711715519428,0.0180439502000809,
Mean,19 n,,-8.48625E-08,0.00533477030694485,0.0180439502000809,
Min,-98 n,,-8.46625E-08,-0.0114016309380531,-0.0154288522899151,
Max,90 n,,-8.44625E-08,0.00533477030694485,0.00130754895508289,
Std Dev,7 n,,-8.42625E-08,-0.0114016309380531,-0.0154288522899151,
Count,1994,,-8.40625E-08,0.00533477030694485,-0.0154288522899151,
,,,-8.38625E-08,-0.0114016309380531,0.0347803514450789,
,,,-8.36625E-08,-0.0281380321830511,0.00130754895508289,
,,,-8.34625E-08,0.0220711715519428,-0.0154288522899151,
,,,-8.32625E-08,0.0220711715519428,0.0180439502000809,
,,,-8.30625E-08,-0.0281380321830511,0.00130754895508289,
,,,-8.28625E-08,0.0220711715519428,-0.0154288522899151,
,,,-8.26625E-08,0.0220711715519428,0.0347803514450789,
,,,-8.24625E-08,-0.0114016309380531,0.00130754895508289,
,,,-8.22625E-08,-0.0281380321830511,-0.0154288522899151,
,,,-8.20625E-08,-0.0114016309380531,0.0180439502000809,
,,,-8.18625E-08,-0.0114016309380531,0.0347803514450789,
,,,-8.16625E-08,0.0220711715519428,-0.0154288522899151,
,,,-8.14625E-08,-0.0114016309380531,-0.0321652535349131,
,,,-8.12625E-08,0.00533477030694485,0.0180439502000809,
,,,-8.10625E-08,0.00533477030694485,0.0180439502000809,
,,,-8.08625E-08,-0.0448744334280491,0.00130754895508289,
,,,-8.06625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-8.04625E-08,0.0220711715519428,0.0180439502000809,
,,,-8.02625E-08,0.00533477030694485,-0.0154288522899151,
,,,-8.00625E-08,-0.0281380321830511,0.00130754895508289,
,,,-7.98625E-08,0.00533477030694485,0.0180439502000809,
,,,-7.96625E-08,-0.0114016309380531,-0.0321652535349131,
,,,-7.94625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.92625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.90625E-08,0.0220711715519428,0.00130754895508289,
,,,-7.88625E-08,-0.0114016309380531,0.0180439502000809,
,,,-7.86625E-08,0.0220711715519428,-0.0154288522899151,
,,,-7.84625E-08,-0.0114016309380531,0.00130754895508289,
,,,-7.82625E-08,-0.0114016309380531,0.00130754895508289,
,,,-7.80625E-08,-0.0114016309380531,0.00130754895508289,
,,,-7.78625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.76625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.74625E-08,0.00533477030694485,0.0180439502000809,
,,,-7.72625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.70625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.68625E-08,0.00533477030694485,-0.0154288522899151,
,,,-7.66625E-08,0.00533477030694485,-0.0321652535349131,
,,,-7.64625E-08,0.0220711715519428,0.0180439502000809,
,,,-7.62625E-08,-0.0281380321830511,-0.0154288522899151,
,,,-7.60625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.58625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.56625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.54625E-08,0.00533477030694485,0.0180439502000809,
,,,-7.52625E-08,0.0220711715519428,0.0180439502000809,
,,,-7.50625E-08,0.00533477030694485,-0.0154288522899151,
,,,-7.48625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.46625E-08,-0.0114016309380531,0.0180439502000809,
,,,-7.44625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.42625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.40625E-08,0.00533477030694485,0.0180439502000809,
,,,-7.38625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.36625E-08,0.00533477030694485,-0.0154288522899151,
,,,-7.34625E-08,-0.0114016309380531,0.0180439502000809,
,,,-7.32625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.30625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.28625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.26625E-08,0.0220711715519428,0.00130754895508289,
,,,-7.24625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.22625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.20625E-08,0.00533477030694485,0.0180439502000809,
,,,-7.18625E-08,-0.0281380321830511,0.0180439502000809,
,,,-7.16625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.14625E-08,0.00533477030694485,0.0180439502000809,
,,,-7.12625E-08,0.00533477030694485,-0.0321652535349131,
,,,-7.10625E-08,0.00533477030694485,0.00130754895508289,
,,,-7.08625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-7.06625E-08,0.00533477030694485,-0.0154288522899151,
,,,-7.04625E-08,-0.0114016309380531,0.0180439502000809,
,,,-7.02625E-08,0.0220711715519428,0.00130754895508289,
,,,-7.00625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.98625E-08,-0.0114016309380531,0.0180439502000809,
,,,-6.96625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.94625E-08,-0.0114016309380531,0.00130754895508289,
,,,-6.92625E-08,-0.0114016309380531,0.0180439502000809,
,,,-6.90625E-08,0.00533477030694485,0.00130754895508289,
,,,-6.88625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-6.86625E-08,-0.0281380321830511,-0.0154288522899151,
,,,-6.84625E-08,-0.0114016309380531,0.00130754895508289,
,,,-6.82625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.80625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.78625E-08,-0.0114016309380531,-0.0321652535349131,
,,,-6.76625E-08,0.00533477030694485,0.00130754895508289,
,,,-6.74625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-6.72625E-08,0.00533477030694485,-0.0321652535349131,
,,,-6.70625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-6.68625E-08,-0.0114016309380531,0.00130754895508289,
,,,-6.66625E-08,0.00533477030694485,-0.0321652535349131,
,,,-6.64625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.62625E-08,0.00533477030694485,0.0180439502000809,
,,,-6.60625E-08,0.00533477030694485,0.00130754895508289,
,,,-6.58625E-08,0.0388075727969408,0.00130754895508289,
,,,-6.56625E-08,0.0220711715519428,0.0180439502000809,
,,,-6.54625E-08,-0.0281380321830511,-0.0154288522899151,
,,,-6.52625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.50625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-6.48625E-08,0.00533477030694485,0.0180439502000809,
,,,-6.46625E-08,-0.0114016309380531,0.0180439502000809,
,,,-6.44625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-6.42625E-08,0.00533477030694485,0.0180439502000809,
,,,-6.40625E-08,0.00533477030694485,0.00130754895508289,
,,,-6.38625E-08,-0.0114016309380531,0.00130754895508289,
,,,-6.36625E-08,-0.0114016309380531,0.00130754895508289,
,,,-6.34625E-08,-0.0114016309380531,0.0180439502000809,
,,,-6.32625E-08,-0.0281380321830511,0.00130754895508289,
,,,-6.30625E-08,0.00533477030694485,0.0180439502000809,
,,,-6.28625E-08,-0.0114016309380531,0.0180439502000809,
,,,-6.26625E-08,-0.0448744334280491,0.0180439502000809,
,,,-6.24625E-08,0.00533477030694485,0.00130754895508289,
,,,-6.22625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.20625E-08,-0.0114016309380531,0.00130754895508289,
,,,-6.18625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-6.16625E-08,0.0220711715519428,-0.0154288522899151,
,,,-6.14625E-08,-0.0114016309380531,-0.0154288522899151,
,,,-6.12625E-08,0.00533477030694485,0.0347803514450789,
,,,-6.10625E-08,0.00533477030694485,0.00130754895508289,
,,,-6.08625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.06625E-08,0.00533477030694485,0.0180439502000809,
,,,-6.04625E-08,0.00533477030694485,-0.0154288522899151,
,,,-6.02625E-08,0.00533477030694485,-0.0321652535349131,
,,,-6.00625E-08,0.00533477030694485,-0.0154288522899151,
,,,-5.98625E-08,-0.0114016309380531,0.0180439502000809,
,,,-5.96625E-08,-0.0114016309380531,0.00130754895508289,
,,,-5.94625E-08,-0.0281380321830511,0.00130754895508289,
,,,-5.92625E-08,-0.0114016309380531,0.00130754895508289,
,,,-5.90625E-08,-0.0114016309380531,0.00130754895508289,
,,,-5.88625E-08,-0.0114016309380531,0.00130754895508289,
,,,-5.86625E-08,-0.0281380321830511,0.00130754895508289,
